life_course_id,n_nodes,record_ids,birth_year_estimates,issues,flagged
95,2,"['C00134', 'R00633']","[1823, 1823]",[],False
96,2,"['C00136', 'R01386']","[1816, 1815]",[],False
97,2,"['C00139', 'R00108']","[1837, 1836]",[],False
98,2,"['C00142', 'R01085']","[1796, 1796]",[],False
99,2,"['C00143', 'R02145']","[1798, 1795]",[],False
100,2,"['C00146', 'R01150']","[1828, 1830]",[],False
101,2,"['C00147', 'R01492']","[1787, 1787]",[],False
102,2,"['C00148', 'R00440']","[1830, 1830]",[],False
103,2,"['C00150', 'R00399']","[1836, 1836]",[],False
104,2,"['C00151', 'R00786']","[1802, 1802]",[],False
105,2,"['C00152', 'R01589']","[1825, 1825]",[],False
106,2,"['C00153', 'R01051']","[1823, 1823]",[],False
107,2,"['C00154', 'R00404']","[1783, 1781]",[],False
108,2,"['C00156', 'R02860']","[1813, 1815]",[],False
109,2,"['C00157', 'R00459']","[1789, 1789]",[],False
110,2,"['C00159', 'R02653']","[1818, 1819]",[],False
111,2,"['C00160', 'R02969']","[1781, 1781]",[],False
112,2,"['C00161', 'R02871']","[1833, 1830]",[],False
113,2,"['C00162', 'R00107']","[1806, 1807]",[],False
114,2,"['C00165', 'R01930']","[1783, 1787]",['birth_year_conflict'],True
115,2,"['C00166', 'R02694']","[1783, 1784]",[],False
116,2,"['C00167', 'R02527']","[1781, 1781]",[],False
117,2,"['C00169', 'R00998']","[1780, 1782]",[],False
118,2,"['C00170', 'R01600']","[1828, 1829]",[],False
119,2,"['C00171', 'R01885']","[1809, 1808]",[],False
120,2,"['C00174', 'R02323']","[1831, 1831]",[],False
121,2,"['C00175', 'R01523']","[1839, 1841]",[],False
122,2,"['C00176', 'R02778']","[1822, 1821]",[],False
123,2,"['C00179', 'R00376']","[1816, 1817]",[],False
124,2,"['C00180', 'R02557']","[1785, 1785]",[],False
125,2,"['C00181', 'R01148']","[1842, 1839]",[],False
126,2,"['C00182', 'R01898']","[1826, 1827]",[],False
127,2,"['C00184', 'R02448']","[1811, 1813]",[],False
128,2,"['C00186', 'R01908']","[1816, 1814]",[],False
129,2,"['C00187', 'R00280']","[1791, 1793]",[],False
130,2,"['C00188', 'R02909']","[1827, 1828]",[],False
131,2,"['C00189', 'R02885']","[1825, 1824]",[],False
132,2,"['C00190', 'R00456']","[1787, 1791]",['birth_year_conflict'],True
133,2,"['C00191', 'R01413']","[1813, 1813]",[],False
134,2,"['C00193', 'R00070']","[1821, 1819]",[],False
135,2,"['C00194', 'R02654']","[1837, 1837]",[],False
136,2,"['C00195', 'R00348']","[1820, 1819]",[],False
137,2,"['C00196', 'R01957']","[1788, 1787]",[],False
138,2,"['C00197', 'R01585']","[1835, 1836]",[],False
139,2,"['C00198', 'R02669']","[1812, 1810]",[],False
140,2,"['C00199', 'R02658']","[1797, 1797]",[],False
141,2,"['C00200', 'R01991']","[1801, 1800]",[],False
142,2,"['C00203', 'R02013']","[1831, 1830]",[],False
143,2,"['C00205', 'R01243']","[1807, 1808]",[],False
144,2,"['C00206', 'R02959']","[1796, 1798]",[],False
145,2,"['C00208', 'R02674']","[1821, 1823]",[],False
146,2,"['C00210', 'R01513']","[1812, 1815]",[],False
147,2,"['C00212', 'R00870']","[1822, 1821]",[],False
148,2,"['C00213', 'R01501']","[1781, 1782]",[],False
149,2,"['C00216', 'R01867']","[1834, 1835]",[],False
150,2,"['C00217', 'R00239']","[1823, 1824]",[],False
151,2,"['C00219', 'R01581']","[1799, 1801]",[],False
152,2,"['C00220', 'R00086']","[1811, 1809]",[],False
153,2,"['C00221', 'R01575']","[1788, 1787]",[],False
154,2,"['C00222', 'R01195']","[1809, 1814]",['birth_year_conflict'],True
155,2,"['C00224', 'R00318']","[1830, 1832]",[],False
156,2,"['C00225', 'R00996']","[1828, 1828]",[],False
157,2,"['C00230', 'R00639']","[1798, 1801]",[],False
158,2,"['C00231', 'R00337']","[1795, 1793]",[],False
159,2,"['C00232', 'R02056']","[1808, 1809]",[],False
160,2,"['C00233', 'R02257']","[1833, 1833]",[],False
161,2,"['C00235', 'R01929']","[1817, 1815]",[],False
162,2,"['C00236', 'R00368']","[1812, 1813]",[],False
163,2,"['C00237', 'R02212']","[1823, 1821]",[],False
164,2,"['C00238', 'R01493']","[1834, 1832]",[],False
165,2,"['C00239', 'R02599']","[1840, 1839]",[],False
166,2,"['C00241', 'R00934']","[1836, 1836]",[],False
167,2,"['C00242', 'R00467']","[1784, 1785]",[],False
168,2,"['C00243', 'R00498']","[1837, 1837]",[],False
169,2,"['C00244', 'R02597']","[1827, 1823]",['birth_year_conflict'],True
170,2,"['C00245', 'R02618']","[1784, 1785]",[],False
171,2,"['C00246', 'R01424']","[1790, 1790]",[],False
172,2,"['C00249', 'R00177']","[1784, 1785]",[],False
173,2,"['C00251', 'R00557']","[1827, 1827]",[],False
174,2,"['C00252', 'R02194']","[1799, 1798]",[],False
175,2,"['C00253', 'R01249']","[1833, 1831]",[],False
176,2,"['C00255', 'R02455']","[1789, 1790]",[],False
177,2,"['C00256', 'R00961']","[1834, 1833]",[],False
178,2,"['C00257', 'R02649']","[1820, 1820]",[],False
179,2,"['C00260', 'R01852']","[1791, 1789]",[],False
180,2,"['C00261', 'R02276']","[1829, 1830]",[],False
181,2,"['C00262', 'R01004']","[1791, 1790]",[],False
182,2,"['C00263', 'R00027']","[1785, 1783]",[],False
183,2,"['C00264', 'R02251']","[1810, 1812]",[],False
184,2,"['C00265', 'R02574']","[1824, 1824]",[],False
185,2,"['C00266', 'R01503']","[1808, 1805]",[],False
186,2,"['C00267', 'R00392']","[1822, 1821]",[],False
187,2,"['C00268', 'R01124']","[1793, 1794]",[],False
188,2,"['C00269', 'R01847']","[1784, 1787]",[],False
189,2,"['C00270', 'R02793']","[1779, 1779]",[],False
190,2,"['C00272', 'R02950']","[1809, 1808]",[],False
191,2,"['C00273', 'R02590']","[1812, 1811]",[],False
192,2,"['C00274', 'R01593']","[1837, 1836]",[],False
193,2,"['C00276', 'R01964']","[1811, 1814]",[],False
194,2,"['C00277', 'R01668']","[1802, 1800]",[],False
195,2,"['C00279', 'R01080']","[1808, 1808]",[],False
196,2,"['C00280', 'R00372']","[1788, 1790]",[],False
197,2,"['C00281', 'R02591']","[1796, 1795]",[],False
198,2,"['C00282', 'R00902']","[1803, 1802]",[],False
199,2,"['C00283', 'R02270']","[1823, 1823]",[],False
200,2,"['C00285', 'R01447']","[1827, 1826]",[],False
201,2,"['C00286', 'R00367']","[1827, 1828]",[],False
202,2,"['C00287', 'R01972']","[1792, 1794]",[],False
203,2,"['C00289', 'R01349']","[1795, 1795]",[],False
204,2,"['C00292', 'R00841']","[1778, 1779]",[],False
205,2,"['C00293', 'R00879']","[1812, 1809]",[],False
206,2,"['C00294', 'R02569']","[1803, 1803]",[],False
207,2,"['C00295', 'R01881']","[1811, 1814]",[],False
208,2,"['C00296', 'R02421']","[1827, 1826]",[],False
209,2,"['C00297', 'R02172']","[1822, 1826]",['birth_year_conflict'],True
210,2,"['C00299', 'R01046']","[1828, 1827]",[],False
211,2,"['C00301', 'R02609']","[1824, 1825]",[],False
212,2,"['C00303', 'R01298']","[1827, 1830]",[],False
213,2,"['C00305', 'R01924']","[1803, 1804]",[],False
214,2,"['C00306', 'R02315']","[1797, 1795]",[],False
215,2,"['C00307', 'R02438']","[1837, 1838]",[],False
216,2,"['C00311', 'R00084']","[1835, 1835]",[],False
217,2,"['C00312', 'R00779']","[1785, 1786]",[],False
218,2,"['C00313', 'R01697']","[1784, 1786]",[],False
219,2,"['C00314', 'R01584']","[1802, 1803]",[],False
220,2,"['C00315', 'R00819']","[1808, 1807]",[],False
221,2,"['C00316', 'R01939']","[1807, 1809]",[],False
222,2,"['C00318', 'R02079']","[1794, 1793]",[],False
223,2,"['C00320', 'R02466']","[1812, 1812]",[],False
224,2,"['C00321', 'R01882']","[1833, 1832]",[],False
225,2,"['C00322', 'R00520']","[1810, 1808]",[],False
226,2,"['C00323', 'R00651']","[1827, 1825]",[],False
227,2,"['C00324', 'R02392']","[1813, 1810]",[],False
228,2,"['C00326', 'R01496']","[1831, 1831]",[],False
229,2,"['C00327', 'R02076']","[1833, 1835]",[],False
230,2,"['C00328', 'R01718']","[1812, 1811]",[],False
231,2,"['C00331', 'R01660']","[1781, 1781]",[],False
232,2,"['C00332', 'R01293']","[1822, 1822]",[],False
233,2,"['C00333', 'R02629']","[1786, 1789]",[],False
234,2,"['C00334', 'R02088']","[1788, 1789]",[],False
235,2,"['C00336', 'R00904']","[1782, 1784]",[],False
236,2,"['C00337', 'R01319']","[1837, 1837]",[],False
237,2,"['C00338', 'R01678']","[1836, 1838]",[],False
238,2,"['C00339', 'R00189']","[1795, 1795]",[],False
239,2,"['C00341', 'R02977']","[1840, 1838]",[],False
240,2,"['C00345', 'R00226']","[1788, 1789]",[],False
241,2,"['C00346', 'R00025']","[1838, 1839]",[],False
242,2,"['C00347', 'R01759']","[1821, 1819]",[],False
243,2,"['C00350', 'R02604']","[1800, 1800]",[],False
244,2,"['C00352', 'R00122']","[1825, 1823]",[],False
245,2,"['C00354', 'R00096']","[1804, 1804]",[],False
246,2,"['C00355', 'R01638']","[1829, 1831]",[],False
247,2,"['C00358', 'R02826']","[1810, 1806]",['birth_year_conflict'],True
248,2,"['C00359', 'R00745']","[1804, 1804]",[],False
249,2,"['C00361', 'R02751']","[1836, 1836]",[],False
250,2,"['C00362', 'R02306']","[1790, 1792]",[],False
251,2,"['C00363', 'R00389']","[1816, 1813]",[],False
252,2,"['C00364', 'R00699']","[1805, 1801]",['birth_year_conflict'],True
253,2,"['C00367', 'R01816']","[1812, 1812]",[],False
254,2,"['C00368', 'R01888']","[1834, 1835]",[],False
255,2,"['C00370', 'R02347']","[1836, 1835]",[],False
256,2,"['C00372', 'R01641']","[1823, 1823]",[],False
257,2,"['C00373', 'R01197']","[1815, 1815]",[],False
258,2,"['C00374', 'R00898']","[1833, 1834]",[],False
259,2,"['C00375', 'R00408']","[1822, 1821]",[],False
260,2,"['C00376', 'R02363']","[1814, 1814]",[],False
261,2,"['C00377', 'R02503']","[1809, 1807]",[],False
262,2,"['C00379', 'R02463']","[1839, 1836]",[],False
263,2,"['C00381', 'R01700']","[1792, 1791]",[],False
264,2,"['C00382', 'R01722']","[1836, 1837]",[],False
265,2,"['C00383', 'R02444']","[1790, 1790]",[],False
266,2,"['C00385', 'R00034']","[1805, 1804]",[],False
267,2,"['C00386', 'R02516']","[1801, 1801]",[],False
268,2,"['C00388', 'R02086']","[1783, 1779]",['birth_year_conflict'],True
269,2,"['C00389', 'R02979']","[1805, 1805]",[],False
270,2,"['C00390', 'R01552']","[1828, 1826]",[],False
271,2,"['C00391', 'R00605']","[1798, 1799]",[],False
272,2,"['C00392', 'R02721']","[1815, 1818]",[],False
273,2,"['C00395', 'R01691']","[1829, 1827]",[],False
274,2,"['C00396', 'R00638']","[1830, 1828]",[],False
275,2,"['C00397', 'R01540']","[1795, 1796]",[],False
276,2,"['C00399', 'R02839']","[1817, 1816]",[],False
277,2,"['C00400', 'R00641']","[1828, 1830]",[],False
278,2,"['C00401', 'R01699']","[1815, 1817]",[],False
279,2,"['C00402', 'R01993']","[1813, 1812]",[],False
280,2,"['C00404', 'R02686']","[1804, 1806]",[],False
281,2,"['C00405', 'R01433']","[1839, 1840]",[],False
282,2,"['C00406', 'R01906']","[1821, 1824]",[],False
283,2,"['C00407', 'R01752']","[1810, 1808]",[],False
284,2,"['C00408', 'R02507']","[1831, 1829]",[],False
285,2,"['C00409', 'R01484']","[1806, 1808]",[],False
286,2,"['C00410', 'R01220']","[1818, 1820]",[],False
287,2,"['C00412', 'R01439']","[1806, 1805]",[],False
288,2,"['C00413', 'R00969']","[1800, 1798]",[],False
289,2,"['C00414', 'R02829']","[1783, 1783]",[],False
290,2,"['C00416', 'R00821']","[1835, 1838]",[],False
291,2,"['C00417', 'R00587']","[1800, 1801]",[],False
292,2,"['C00419', 'R00853']","[1780, 1780]",[],False
293,2,"['C00420', 'R02188']","[1838, 1838]",[],False
294,2,"['C00421', 'R00675']","[1812, 1808]",['birth_year_conflict'],True
295,2,"['C00422', 'R00512']","[1797, 1797]",[],False
296,2,"['C00423', 'R01414']","[1800, 1800]",[],False
297,2,"['C00424', 'R01744']","[1790, 1790]",[],False
298,2,"['C00425', 'R01177']","[1804, 1804]",[],False
299,2,"['C00426', 'R00546']","[1795, 1797]",[],False
300,2,"['C00427', 'R01933']","[1837, 1834]",[],False
301,2,"['C00429', 'R02578']","[1801, 1804]",[],False
302,2,"['C00430', 'R01317']","[1808, 1805]",[],False
303,2,"['C00431', 'R00630']","[1791, 1793]",[],False
304,2,"['C00432', 'R02175']","[1813, 1813]",[],False
305,2,"['C00433', 'R01625']","[1809, 1812]",[],False
306,2,"['C00435', 'R02069']","[1824, 1822]",[],False
307,2,"['C00436', 'R01352']","[1827, 1825]",[],False
308,2,"['C00438', 'R00006']","[1836, 1838]",[],False
309,2,"['C00440', 'R02181']","[1792, 1791]",[],False
310,2,"['C00441', 'R02066']","[1810, 1807]",[],False
311,2,"['C00442', 'R01145']","[1826, 1825]",[],False
312,2,"['C00444', 'R01215']","[1778, 1779]",[],False
313,2,"['C00445', 'R00310']","[1826, 1825]",[],False
314,2,"['C00448', 'R02147']","[1803, 1804]",[],False
315,2,"['C00450', 'R01329']","[1797, 1798]",[],False
316,2,"['C00451', 'R00646']","[1806, 1806]",[],False
317,2,"['C00454', 'R00492']","[1798, 1798]",[],False
318,2,"['C00455', 'R00956']","[1813, 1816]",[],False
319,2,"['C00457', 'R02749']","[1793, 1795]",[],False
320,2,"['C00460', 'R02990']","[1791, 1793]",[],False
321,2,"['C00461', 'R01154']","[1823, 1822]",[],False
322,2,"['C00464', 'R01751']","[1785, 1783]",[],False
323,2,"['C00465', 'R01480']","[1824, 1825]",[],False
324,2,"['C00467', 'R00021']","[1794, 1793]",[],False
325,2,"['C00468', 'R02984']","[1787, 1786]",[],False
326,2,"['C00469', 'R00700']","[1786, 1786]",[],False
327,2,"['C00470', 'R00159']","[1824, 1821]",[],False
328,2,"['C00471', 'R01942']","[1784, 1786]",[],False
329,2,"['C00473', 'R00576']","[1780, 1778]",[],False
330,2,"['C00474', 'R01760']","[1788, 1789]",[],False
331,2,"['C00475', 'R02754']","[1812, 1811]",[],False
332,2,"['C00476', 'R00289']","[1800, 1798]",[],False
333,2,"['C00477', 'R02837']","[1828, 1827]",[],False
334,2,"['C00479', 'R01089']","[1787, 1788]",[],False
335,2,"['C00480', 'R02859']","[1802, 1805]",[],False
336,2,"['C00481', 'R00496']","[1803, 1803]",[],False
337,2,"['C00482', 'R02989']","[1800, 1801]",[],False
338,2,"['C00483', 'R01702']","[1793, 1789]",['birth_year_conflict'],True
339,2,"['C00484', 'R00437']","[1836, 1837]",[],False
340,2,"['C00486', 'R00967']","[1819, 1820]",[],False
341,2,"['C00488', 'R00433']","[1783, 1785]",[],False
342,2,"['C00491', 'R01188']","[1840, 1840]",[],False
343,2,"['C00492', 'R01353']","[1799, 1796]",[],False
344,2,"['C00494', 'R00514']","[1828, 1827]",[],False
345,2,"['C00495', 'R00439']","[1827, 1828]",[],False
346,2,"['C00496', 'R01520']","[1832, 1833]",[],False
347,2,"['C00499', 'R00221']","[1785, 1785]",[],False
348,2,"['C00501', 'R00950']","[1782, 1781]",[],False
349,2,"['C00502', 'R00446']","[1830, 1832]",[],False
350,2,"['C00503', 'R01309']","[1841, 1841]",[],False
351,2,"['C00504', 'R01001']","[1830, 1827]",[],False
352,2,"['C00505', 'R00716']","[1831, 1830]",[],False
353,2,"['C00507', 'R00360']","[1838, 1837]",[],False
354,2,"['C00509', 'R02843']","[1828, 1829]",[],False
355,2,"['C00510', 'R01639']","[1808, 1809]",[],False
356,2,"['C00511', 'R00749']","[1805, 1805]",[],False
357,2,"['C00512', 'R01714']","[1815, 1816]",[],False
358,2,"['C00513', 'R02196']","[1836, 1835]",[],False
359,2,"['C00515', 'R00885']","[1780, 1779]",[],False
360,2,"['C00516', 'R01793']","[1810, 1809]",[],False
361,2,"['C00517', 'R02102']","[1799, 1798]",[],False
362,2,"['C00519', 'R01634']","[1812, 1813]",[],False
363,2,"['C00520', 'R01434']","[1837, 1839]",[],False
364,2,"['C00521', 'R00513']","[1840, 1837]",[],False
365,2,"['C00522', 'R01178']","[1802, 1804]",[],False
366,2,"['C00523', 'R00202']","[1809, 1810]",[],False
367,2,"['C00524', 'R01013']","[1795, 1794]",[],False
368,2,"['C00525', 'R00256']","[1787, 1786]",[],False
369,2,"['C00526', 'R00448']","[1827, 1828]",[],False
370,2,"['C00527', 'R00415']","[1810, 1810]",[],False
371,2,"['C00529', 'R00787']","[1811, 1811]",[],False
372,2,"['C00530', 'R00659']","[1808, 1805]",[],False
373,2,"['C00531', 'R01623']","[1778, 1782]",['birth_year_conflict'],True
374,2,"['C00532', 'R00369']","[1798, 1802]",['birth_year_conflict'],True
375,2,"['C00533', 'R02396']","[1782, 1780]",[],False
376,2,"['C00534', 'R02956']","[1781, 1781]",[],False
377,2,"['C00536', 'R00954']","[1819, 1818]",[],False
378,2,"['C00537', 'R00621']","[1835, 1837]",[],False
379,2,"['C00538', 'R00694']","[1801, 1801]",[],False
380,2,"['C00540', 'R02204']","[1791, 1792]",[],False
381,2,"['C00541', 'R00167']","[1814, 1815]",[],False
382,2,"['C00542', 'R02602']","[1805, 1805]",[],False
383,2,"['C00543', 'R00888']","[1802, 1801]",[],False
384,2,"['C00544', 'R01222']","[1790, 1789]",[],False
385,2,"['C00545', 'R00014']","[1838, 1839]",[],False
386,2,"['C00546', 'R02247']","[1788, 1788]",[],False
387,2,"['C00547', 'R01640']","[1801, 1801]",[],False
388,2,"['C00549', 'R01429']","[1823, 1824]",[],False
389,2,"['C00553', 'R00543']","[1782, 1779]",[],False
390,2,"['C00554', 'R02581']","[1827, 1827]",[],False
391,2,"['C00555', 'R01918']","[1820, 1819]",[],False
392,2,"['C00557', 'R00364']","[1810, 1807]",[],False
393,2,"['C00558', 'R00816']","[1810, 1809]",[],False
394,2,"['C00559', 'R02880']","[1806, 1808]",[],False
395,2,"['C00560', 'R00319']","[1837, 1837]",[],False
396,2,"['C00562', 'R00287']","[1838, 1839]",[],False
397,2,"['C00563', 'R01667']","[1781, 1781]",[],False
398,2,"['C00564', 'R00529']","[1818, 1820]",[],False
399,2,"['C00565', 'R02354']","[1829, 1827]",[],False
400,2,"['C00567', 'R00542']","[1810, 1809]",[],False
401,2,"['C00569', 'R02261']","[1803, 1801]",[],False
402,2,"['C00571', 'R01103']","[1798, 1798]",[],False
403,2,"['C00572', 'R01090']","[1812, 1811]",[],False
404,2,"['C00573', 'R00184']","[1815, 1815]",[],False
405,2,"['C00574', 'R02796']","[1825, 1823]",[],False
406,2,"['C00577', 'R00918']","[1782, 1783]",[],False
407,2,"['C00578', 'R01074']","[1804, 1803]",[],False
408,2,"['C00579', 'R02266']","[1823, 1827]",['birth_year_conflict'],True
409,2,"['C00580', 'R02848']","[1806, 1804]",[],False
410,2,"['C00581', 'R01766']","[1796, 1794]",[],False
411,2,"['C00582', 'R02065']","[1784, 1785]",[],False
412,2,"['C00584', 'R00533']","[1815, 1819]",['birth_year_conflict'],True
413,2,"['C00585', 'R02269']","[1793, 1793]",[],False
414,2,"['C00587', 'R01278']","[1839, 1839]",[],False
415,2,"['C00588', 'R01435']","[1793, 1793]",[],False
416,2,"['C00590', 'R02514']","[1783, 1784]",[],False
417,2,"['C00592', 'R02914']","[1827, 1827]",[],False
418,2,"['C00593', 'R00283']","[1803, 1804]",[],False
419,2,"['C00594', 'R02449']","[1791, 1790]",[],False
420,2,"['C00595', 'R00128']","[1794, 1794]",[],False
421,2,"['C00597', 'R00288']","[1788, 1787]",[],False
422,2,"['C00598', 'R00038']","[1834, 1833]",[],False
423,2,"['C00599', 'R01211']","[1828, 1829]",[],False
424,2,"['C00601', 'R00600']","[1805, 1814]",['birth_year_conflict'],True
425,2,"['C00602', 'R02287']","[1793, 1791]",[],False
426,2,"['C00603', 'R01186']","[1839, 1838]",[],False
427,2,"['C00604', 'R02951']","[1802, 1800]",[],False
428,2,"['C00606', 'R02217']","[1828, 1830]",[],False
429,2,"['C00607', 'R02176']","[1793, 1791]",[],False
430,2,"['C00609', 'R00037']","[1824, 1824]",[],False
431,2,"['C00610', 'R02300']","[1788, 1787]",[],False
432,2,"['C00612', 'R02881']","[1820, 1822]",[],False
433,2,"['C00613', 'R01912']","[1799, 1798]",[],False
434,2,"['C00614', 'R00297']","[1813, 1812]",[],False
435,2,"['C00615', 'R00424']","[1809, 1810]",[],False
436,2,"['C00617', 'R00220']","[1791, 1790]",[],False
437,2,"['C00618', 'R02613']","[1832, 1830]",[],False
438,2,"['C00619', 'R00444']","[1797, 1796]",[],False
439,2,"['C00620', 'R00804']","[1823, 1823]",[],False
440,2,"['C00621', 'R02459']","[1820, 1818]",[],False
441,2,"['C00622', 'R02453']","[1782, 1781]",[],False
442,2,"['C00624', 'R00873']","[1789, 1787]",[],False
443,2,"['C00625', 'R01383']","[1815, 1814]",[],False
444,2,"['C00627', 'R01755']","[1805, 1805]",[],False
445,2,"['C00628', 'R01716']","[1831, 1833]",[],False
446,2,"['C00629', 'R01481']","[1821, 1822]",[],False
447,2,"['C00630', 'R02162']","[1838, 1835]",[],False
448,2,"['C00632', 'R00765']","[1841, 1839]",[],False
449,2,"['C00634', 'R01047']","[1812, 1812]",[],False
450,2,"['C00635', 'R01498']","[1814, 1815]",[],False
451,2,"['C00636', 'R02328']","[1823, 1824]",[],False
452,2,"['C00638', 'R01739']","[1822, 1820]",[],False
453,2,"['C00639', 'R02727']","[1810, 1809]",[],False
454,2,"['C00641', 'R00663']","[1791, 1793]",[],False
455,2,"['C00642', 'R01749']","[1792, 1791]",[],False
456,2,"['C00644', 'R01982']","[1834, 1835]",[],False
457,2,"['C00645', 'R01494']","[1814, 1815]",[],False
